"","rec_yr","disp_cat","type","alleg_count"
"1",2017,"cleared","Abuse of Authority",1749
"2",2017,"cleared","Discourtesy",123
"3",2017,"cleared","Force",850
"4",2017,"cleared","Offensive Language",41
"5",2017,"moot","Abuse of Authority",40
"6",2017,"moot","Discourtesy",12
"7",2017,"moot","Force",11
"8",2017,"moot","Offensive Language",3
"9",2017,"substantiated","Abuse of Authority",512
"10",2017,"substantiated","Discourtesy",68
"11",2017,"substantiated","Force",79
"12",2017,"substantiated","Offensive Language",10
"13",2017,"truncated","Abuse of Authority",3750
"14",2017,"truncated","Discourtesy",935
"15",2017,"truncated","Force",1741
"16",2017,"truncated","Offensive Language",229
"17",2017,"uncertain","Abuse of Authority",1644
"18",2017,"uncertain","Discourtesy",626
"19",2017,"uncertain","Force",554
"20",2017,"uncertain","Offensive Language",129
"21",2018,"cleared","Abuse of Authority",1968
"22",2018,"cleared","Discourtesy",185
"23",2018,"cleared","Force",766
"24",2018,"cleared","Offensive Language",48
"25",2018,"moot","Abuse of Authority",41
"26",2018,"moot","Discourtesy",11
"27",2018,"moot","Force",10
"28",2018,"moot","Offensive Language",1
"29",2018,"substantiated","Abuse of Authority",499
"30",2018,"substantiated","Discourtesy",172
"31",2018,"substantiated","Force",105
"32",2018,"substantiated","Offensive Language",20
"33",2018,"truncated","Abuse of Authority",4771
"34",2018,"truncated","Discourtesy",872
"35",2018,"truncated","Force",2108
"36",2018,"truncated","Offensive Language",187
"37",2018,"uncertain","Abuse of Authority",1410
"38",2018,"uncertain","Discourtesy",412
"39",2018,"uncertain","Force",472
"40",2018,"uncertain","Offensive Language",104
"41",2019,"cleared","Abuse of Authority",2310
"42",2019,"cleared","Discourtesy",273
"43",2019,"cleared","Force",879
"44",2019,"cleared","Offensive Language",39
"45",2019,"moot","Abuse of Authority",116
"46",2019,"moot","Discourtesy",27
"47",2019,"moot","Force",48
"48",2019,"moot","Offensive Language",5
"49",2019,"substantiated","Abuse of Authority",952
"50",2019,"substantiated","Discourtesy",249
"51",2019,"substantiated","Force",137
"52",2019,"substantiated","Offensive Language",60
"53",2019,"truncated","Abuse of Authority",5612
"54",2019,"truncated","Discourtesy",771
"55",2019,"truncated","Force",2596
"56",2019,"truncated","Offensive Language",183
"57",2019,"uncertain","Abuse of Authority",1597
"58",2019,"uncertain","Discourtesy",332
"59",2019,"uncertain","Force",409
"60",2019,"uncertain","Offensive Language",92
