,comp_id,inc_date,rec_date,close_date,boro,precinct,disp,inc_dt,rec_dt,close_dt
1,201910813,12/15/2019,12/18/2019 12:42,5/1/2020 14:11,Manhattan,18,Exonerated,12/15/2019,12/18/2019 12:42,5/1/2020 14:11
2,202202903,5/4/2022,5/9/2022 10:00,9/14/2023 11:48,Bronx,43,Unable to Determine,5/4/2022,5/9/2022 10:00,9/14/2023 11:48
3,201807780,4/5/2018,9/20/2018 8:57,10/3/2019 19:12,Brooklyn,77,Unsubstantiated,4/5/2018,9/20/2018 8:57,10/3/2019 19:12
4,201902212,3/12/2019,3/12/2019 18:37,11/22/2019 14:51,Manhattan,19,Unsubstantiated,3/12/2019,3/12/2019 18:37,11/22/2019 14:51
5,201910060,11/10/2019,11/19/2019 14:53,4/30/2020 7:38,Brooklyn,88,Complainant Uncooperative,11/10/2019,11/19/2019 14:53,4/30/2020 7:38
6,202205472,8/11/2022,8/19/2022 13:13,3/23/2023 9:48,Manhattan,18,Officer(s) Unidentified,8/11/2022,8/19/2022 13:13,3/23/2023 9:48
7,202106875,11/10/2021,11/12/2021 10:57,12/19/2023 15:32,Manhattan,6,Within NYPD Guidelines,11/10/2021,11/12/2021 10:57,12/19/2023 15:32
8,201707851,9/21/2017,9/25/2017 12:04,7/26/2018 18:22,Bronx,40,Unfounded,9/21/2017,9/25/2017 12:04,7/26/2018 18:22
9,202204273,6/23/2022,6/30/2022 13:27,10/26/2023 12:48,Queens,103,Substantiated (Charges),6/23/2022,6/30/2022 13:27,10/26/2023 12:48
10,202301728,2/9/2023,2/28/2023 9:27,12/20/2023 18:25,Manhattan,34,Unable to Determine,2/9/2023,2/28/2023 9:27,12/20/2023 18:25
11,202306920,7/1/2023,7/27/2023 2:58,1/25/2024 15:12,Bronx,50,OMB PEG Directive Closure,7/1/2023,7/27/2023 2:58,1/25/2024 15:12
12,201902279,3/14/2019,3/14/2019 20:48,6/17/2020 16:17,Staten Island,120,Exonerated,3/14/2019,3/14/2019 20:48,6/17/2020 16:17
13,201808391,10/10/2018,10/10/2018 14:36,11/7/2018 16:45,Bronx,46,Complaint Withdrawn,10/10/2018,10/10/2018 14:36,11/7/2018 16:45
14,201903917,5/5/2019,5/8/2019 0:00,9/17/2019 18:16,Brooklyn,84,Unfounded,5/5/2019,5/8/2019,9/17/2019 18:16
15,201901569,2/9/2019,2/13/2019 0:00,10/3/2019 19:10,Brooklyn,83,Substantiated (Formalized Training),2/9/2019,2/13/2019,10/3/2019 19:10
16,201904498,5/17/2019,5/23/2019 11:10,5/27/2020 13:37,Bronx,49,Unsubstantiated,5/17/2019,5/23/2019 11:10,5/27/2020 13:37
17,201809275,11/5/2018,11/7/2018 6:41,6/19/2019 16:22,Brooklyn,70,Substantiated (Formalized Training),11/5/2018,11/7/2018 6:41,6/19/2019 16:22
18,201806644,8/2/2018,8/13/2018 10:58,11/26/2018 9:35,Brooklyn,73,Complainant Uncooperative,8/2/2018,8/13/2018 10:58,11/26/2018 9:35
