"","precinct","rec_yr","boro","adams","trunc_rate","subst_rate","subst_count","trunc_count","ln_sr","ln_tr","comp_count","pct_pop","pop_white","pop_nhwhite","pop_black","pop_nhblack","pop_hisp","pop_nonhisp","pop_asian","pop_nhasian","pop_nat","pop_birac","share_wh","share_nhwh","share_bl","share_nhbl","share_hisp","share_nonhisp","share_asian","share_nat","share_bir","comp_rate_p100k"
"1","01",2017,"Manhattan",0,41.6666666666667,8.33333333333333,3,15,2.12026353620009,3.72970144863419,36,84799,57501,55608,2655,2410,7024,77775,14624,14537,96,7862,0.678085826483803,0.655762450028892,0.0313093314779655,0.028420146,0.082831165,0.917168834538143,0.172454863854527,0.001132089,0.092713357,42.4533308175804
"2","01",2018,"Manhattan",0,55.1020408163265,4.08163265306122,2,27,1.40649706843741,4.00918675388179,49,84799,57501,55608,2655,2410,7024,77775,14624,14537,96,7862,0.678085826483803,0.655762450028892,0.0313093314779655,0.028420146,0.082831165,0.917168834538143,0.172454863854527,0.001132089,0.092713357,57.7837002794844
"3","01",2019,"Manhattan",0,42.6229508196721,6.55737704918033,4,26,1.88059068293467,3.75239285983626,61,84799,57501,55608,2655,2410,7024,77775,14624,14537,96,7862,0.678085826483803,0.655762450028892,0.0313093314779655,0.028420146,0.082831165,0.917168834538143,0.172454863854527,0.001132089,0.092713357,71.9348105520112
"4","01",2020,"Manhattan",0,18.1818181818182,1.81818181818182,2,20,0.59783700075562,2.90042209374967,110,84799,57501,55608,2655,2410,7024,77775,14624,14537,96,7862,0.678085826483803,0.655762450028892,0.0313093314779655,0.028420146,0.082831165,0.917168834538143,0.172454863854527,0.001132089,0.092713357,129.718510831496
"5","01",2021,"Manhattan",0,50,2.63157894736842,1,19,0.967584026261705,3.91202300542815,38,84799,57501,55608,2655,2410,7024,77775,14624,14537,96,7862,0.678085826483803,0.655762450028892,0.0313093314779655,0.028420146,0.082831165,0.917168834538143,0.172454863854527,0.001132089,0.092713357,44.8118491963349
"6","01",2022,"Manhattan",1,41.025641025641,10.2564102564103,4,16,2.32790290097834,3.71419726209823,39,84799,57501,55608,2655,2410,7024,77775,14624,14537,96,7862,0.678085826483803,0.655762450028892,0.0313093314779655,0.028420146,0.082831165,0.917168834538143,0.172454863854527,0.001132089,0.092713357,45.9911083857121
"7","01",2023,"Manhattan",1,59.4594594594595,5.40540540540541,2,22,1.68739945390381,4.08529472670218,37,84799,57501,55608,2655,2410,7024,77775,14624,14537,96,7862,0.678085826483803,0.655762450028892,0.0313093314779655,0.028420146,0.082831165,0.917168834538143,0.172454863854527,0.001132089,0.092713357,43.6325900069576
"8","01",2024,"Manhattan",1,42.8571428571429,0,0,3,-Inf,3.75787232560089,7,84799,57501,55608,2655,2410,7024,77775,14624,14537,96,7862,0.678085826483803,0.655762450028892,0.0313093314779655,0.028420146,0.082831165,0.917168834538143,0.172454863854527,0.001132089,0.092713357,8.25481432564063
"9","05",2017,"Brooklyn",0,0,0,0,0,-Inf,-Inf,1,50598,13363,11970,3556,2964,6453,44145,27507,27432,109,2935,0.264101347879363,0.236570615439345,0.070279458,0.05857939,0.127534685165422,0.872465314834578,0.543638088461995,0.002154235,0.0580062453061386,1.97636270208309
"10","05",2017,"Manhattan",0,43.1818181818182,2.27272727272727,1,19,0.82098055206983,3.76541953123627,44,50598,13363,11970,3556,2964,6453,44145,27507,27432,109,2935,0.264101347879363,0.236570615439345,0.070279458,0.05857939,0.127534685165422,0.872465314834578,0.543638088461995,0.002154235,0.0580062453061386,86.9599588916558
"11","05",2018,"Manhattan",0,52.2727272727273,11.3636363636364,5,23,2.43041846450393,3.95647476799898,44,50598,13363,11970,3556,2964,6453,44145,27507,27432,109,2935,0.264101347879363,0.236570615439345,0.070279458,0.05857939,0.127534685165422,0.872465314834578,0.543638088461995,0.002154235,0.0580062453061386,86.9599588916558
"12","05",2019,"Manhattan",0,51.5151515151515,6.06060606060606,2,17,1.80180980508156,3.94187596857783,33,50598,13363,11970,3556,2964,6453,44145,27507,27432,109,2935,0.264101347879363,0.236570615439345,0.070279458,0.05857939,0.127534685165422,0.872465314834578,0.543638088461995,0.002154235,0.0580062453061386,65.2199691687419
"13","05",2020,"Manhattan",0,32.5,5,2,13,1.6094379124341,3.48124008933569,40,50598,13363,11970,3556,2964,6453,44145,27507,27432,109,2935,0.264101347879363,0.236570615439345,0.070279458,0.05857939,0.127534685165422,0.872465314834578,0.543638088461995,0.002154235,0.0580062453061386,79.0545080833235
"14","05",2021,"Manhattan",0,36.6666666666667,13.3333333333333,4,11,2.59026716544583,3.60186807712431,30,50598,13363,11970,3556,2964,6453,44145,27507,27432,109,2935,0.264101347879363,0.236570615439345,0.070279458,0.05857939,0.127534685165422,0.872465314834578,0.543638088461995,0.002154235,0.0580062453061386,59.2908810624926
"15","05",2022,"Manhattan",1,33.3333333333333,12.8205128205128,5,13,2.55104645229255,3.50655789731998,39,50598,13363,11970,3556,2964,6453,44145,27507,27432,109,2935,0.264101347879363,0.236570615439345,0.070279458,0.05857939,0.127534685165422,0.872465314834578,0.543638088461995,0.002154235,0.0580062453061386,77.0781453812404
"16","05",2023,"Manhattan",1,47.2222222222222,0,0,17,-Inf,3.8548645915882,36,50598,13363,11970,3556,2964,6453,44145,27507,27432,109,2935,0.264101347879363,0.236570615439345,0.070279458,0.05857939,0.127534685165422,0.872465314834578,0.543638088461995,0.002154235,0.0580062453061386,71.1490572749911
"17","05",2024,"Manhattan",1,25,0,0,3,-Inf,3.2188758248682,12,50598,13363,11970,3556,2964,6453,44145,27507,27432,109,2935,0.264101347879363,0.236570615439345,0.070279458,0.05857939,0.127534685165422,0.872465314834578,0.543638088461995,0.002154235,0.0580062453061386,23.716352424997
"18","06",2017,"Manhattan",0,51.063829787234,4.25531914893617,2,24,1.44816976483798,3.93307641462598,47,64643,50320,48912,1782,1661,5008,59635,5635,5590,72,5162,0.778429218940953,0.756648051606516,0.0275667899076466,0.025694971,0.077471652,0.922528348003651,0.087171078,0.00111381,0.079853967,72.7070216419411
"19","06",2018,"Manhattan",0,60.7142857142857,7.14285714285714,4,34,1.96611285637283,4.1061790198691,56,64643,50320,48912,1782,1661,5008,59635,5635,5590,72,5162,0.778429218940953,0.756648051606516,0.0275667899076466,0.025694971,0.077471652,0.922528348003651,0.087171078,0.00111381,0.079853967,86.6296428074192
"20","06",2019,"Manhattan",0,55.5555555555556,2.77777777777778,1,20,1.02165124753198,4.01738352108597,36,64643,50320,48912,1782,1661,5008,59635,5635,5590,72,5162,0.778429218940953,0.756648051606516,0.0275667899076466,0.025694971,0.077471652,0.922528348003651,0.087171078,0.00111381,0.079853967,55.6904846619124
"21","06",2020,"Manhattan",0,38.7755102040816,16.3265306122449,8,19,2.7927914295573,3.65778886704391,49,64643,50320,48912,1782,1661,5008,59635,5635,5590,72,5162,0.778429218940953,0.756648051606516,0.0275667899076466,0.025694971,0.077471652,0.922528348003651,0.087171078,0.00111381,0.079853967,75.8009374564918
"22","06",2021,"Manhattan",0,34.1463414634146,12.1951219512195,5,14,2.50103603171788,3.53065544889904,41,64643,50320,48912,1782,1661,5008,59635,5635,5590,72,5162,0.778429218940953,0.756648051606516,0.0275667899076466,0.025694971,0.077471652,0.922528348003651,0.087171078,0.00111381,0.079853967,63.4252741982891
"23","06",2022,"Manhattan",1,46.6666666666667,3.33333333333333,1,14,1.20397280432594,3.84303013394119,30,64643,50320,48912,1782,1661,5008,59635,5635,5590,72,5162,0.778429218940953,0.756648051606516,0.0275667899076466,0.025694971,0.077471652,0.922528348003651,0.087171078,0.00111381,0.079853967,46.4087372182603
"24","06",2023,"Manhattan",1,60,16,4,15,2.77258872223978,4.0943445622221,25,64643,50320,48912,1782,1661,5008,59635,5635,5590,72,5162,0.778429218940953,0.756648051606516,0.0275667899076466,0.025694971,0.077471652,0.922528348003651,0.087171078,0.00111381,0.079853967,38.6739476818836
"25","06",2024,"Manhattan",1,66.6666666666667,0,0,4,-Inf,4.19970507787993,6,64643,50320,48912,1782,1661,5008,59635,5635,5590,72,5162,0.778429218940953,0.756648051606516,0.0275667899076466,0.025694971,0.077471652,0.922528348003651,0.087171078,0.00111381,0.079853967,9.28174744365206
"26","07",2017,"Manhattan",0,52.5,2.5,1,21,0.916290731874155,3.96081316959758,40,57985,18416,15512,6934,5456,17241,40744,17779,17608,396,6239,0.31759937914978,0.267517461412434,0.119582650685522,0.0940933,0.297335517806329,0.702664482193671,0.306613779425714,0.006829352,0.107596792273864,68.9833577649392
"27","07",2018,"Manhattan",0,63.4615384615385,3.84615384615385,2,33,1.34707364796661,4.15043402887314,52,57985,18416,15512,6934,5456,17241,40744,17779,17608,396,6239,0.31759937914978,0.267517461412434,0.119582650685522,0.0940933,0.297335517806329,0.702664482193671,0.306613779425714,0.006829352,0.107596792273864,89.678365094421
"28","07",2019,"Manhattan",0,57.5,7.5,3,23,2.01490302054226,4.0517849478033,40,57985,18416,15512,6934,5456,17241,40744,17779,17608,396,6239,0.31759937914978,0.267517461412434,0.119582650685522,0.0940933,0.297335517806329,0.702664482193671,0.306613779425714,0.006829352,0.107596792273864,68.9833577649392
"29","07",2020,"Manhattan",0,53.125,9.375,3,17,2.23804657185647,3.97264762724458,32,57985,18416,15512,6934,5456,17241,40744,17779,17608,396,6239,0.31759937914978,0.267517461412434,0.119582650685522,0.0940933,0.297335517806329,0.702664482193671,0.306613779425714,0.006829352,0.107596792273864,55.1866862119514
"30","07",2021,"Manhattan",0,54.2857142857143,8.57142857142857,3,19,2.14843441316679,3.99426110366512,35,57985,18416,15512,6934,5456,17241,40744,17779,17608,396,6239,0.31759937914978,0.267517461412434,0.119582650685522,0.0940933,0.297335517806329,0.702664482193671,0.306613779425714,0.006829352,0.107596792273864,60.3604380443218
"31","07",2022,"Manhattan",1,37.7777777777778,11.1111111111111,5,17,2.40794560865187,3.63172104027399,45,57985,18416,15512,6934,5456,17241,40744,17779,17608,396,6239,0.31759937914978,0.267517461412434,0.119582650685522,0.0940933,0.297335517806329,0.702664482193671,0.306613779425714,0.006829352,0.107596792273864,77.6062774855566
"32","07",2023,"Manhattan",1,52.5,7.5,3,21,2.01490302054226,3.96081316959758,40,57985,18416,15512,6934,5456,17241,40744,17779,17608,396,6239,0.31759937914978,0.267517461412434,0.119582650685522,0.0940933,0.297335517806329,0.702664482193671,0.306613779425714,0.006829352,0.107596792273864,68.9833577649392
"33","07",2024,"Manhattan",1,60,0,0,9,-Inf,4.0943445622221,15,57985,18416,15512,6934,5456,17241,40744,17779,17608,396,6239,0.31759937914978,0.267517461412434,0.119582650685522,0.0940933,0.297335517806329,0.702664482193671,0.306613779425714,0.006829352,0.107596792273864,25.8687591618522
"34","09",2017,"Manhattan",0,36.3636363636364,2.27272727272727,1,16,0.82098055206983,3.59356927430961,44,75951,41843,38321,6610,5520,17159,58792,11322,11206,480,7839,0.55092098853208,0.504548985530144,0.087029796,0.072678437,0.225921976010849,0.774078023989151,0.149069794999408,0.006319864,0.103211280957459,57.9320877934458
"35","09",2018,"Manhattan",0,50,0,0,31,-Inf,3.91202300542815,62,75951,41843,38321,6610,5520,17159,58792,11322,11206,480,7839,0.55092098853208,0.504548985530144,0.087029796,0.072678437,0.225921976010849,0.774078023989151,0.149069794999408,0.006319864,0.103211280957459,81.6315782544009
"36","09",2019,"Manhattan",0,53.448275862069,6.89655172413793,4,31,1.93102153656156,3.97871437992682,58,75951,41843,38321,6610,5520,17159,58792,11322,11206,480,7839,0.55092098853208,0.504548985530144,0.087029796,0.072678437,0.225921976010849,0.774078023989151,0.149069794999408,0.006319864,0.103211280957459,76.3650248186331
"37","09",2020,"Manhattan",0,50,4.76190476190476,2,21,1.56064774826467,3.91202300542815,42,75951,41843,38321,6610,5520,17159,58792,11322,11206,480,7839,0.55092098853208,0.504548985530144,0.087029796,0.072678437,0.225921976010849,0.774078023989151,0.149069794999408,0.006319864,0.103211280957459,55.2988110755619
"38","09",2021,"Manhattan",0,41.3793103448276,3.44827586206897,1,12,1.23787435600162,3.72278100578962,29,75951,41843,38321,6610,5520,17159,58792,11322,11206,480,7839,0.55092098853208,0.504548985530144,0.087029796,0.072678437,0.225921976010849,0.774078023989151,0.149069794999408,0.006319864,0.103211280957459,38.1825124093165
"39","09",2022,"Manhattan",1,47.6190476190476,7.14285714285714,3,20,1.96611285637283,3.86323284125871,42,75951,41843,38321,6610,5520,17159,58792,11322,11206,480,7839,0.55092098853208,0.504548985530144,0.087029796,0.072678437,0.225921976010849,0.774078023989151,0.149069794999408,0.006319864,0.103211280957459,55.2988110755619
"40","09",2023,"Manhattan",1,50,6.25,2,16,1.83258146374831,3.91202300542815,32,75951,41843,38321,6610,5520,17159,58792,11322,11206,480,7839,0.55092098853208,0.504548985530144,0.087029796,0.072678437,0.225921976010849,0.774078023989151,0.149069794999408,0.006319864,0.103211280957459,42.1324274861424
"41","09",2024,"Manhattan",1,60,0,0,6,-Inf,4.0943445622221,10,75951,41843,38321,6610,5520,17159,58792,11322,11206,480,7839,0.55092098853208,0.504548985530144,0.087029796,0.072678437,0.225921976010849,0.774078023989151,0.149069794999408,0.006319864,0.103211280957459,13.1663835894195
"42","10",2017,"Manhattan",0,70,7.5,3,28,2.01490302054226,4.24849524204936,40,65570,38396,34811,5749,4747,12874,52696,10326,9895,273,6460,0.58557267042855,0.530898276650907,0.087677291,0.072395913,0.196339789537898,0.803660210462102,0.15748055513192,0.004163489,0.098520665,61.0035077016929
"43","10",2018,"Manhattan",0,63.8888888888889,5.55555555555556,2,23,1.71479842809193,4.15714546346113,36,65570,38396,34811,5749,4747,12874,52696,10326,9895,273,6460,0.58557267042855,0.530898276650907,0.087677291,0.072395913,0.196339789537898,0.803660210462102,0.15748055513192,0.004163489,0.098520665,54.9031569315236
"44","10",2019,"Manhattan",0,40,0,0,12,-Inf,3.68887945411394,30,65570,38396,34811,5749,4747,12874,52696,10326,9895,273,6460,0.58557267042855,0.530898276650907,0.087677291,0.072395913,0.196339789537898,0.803660210462102,0.15748055513192,0.004163489,0.098520665,45.7526307762696
"45","10",2020,"Manhattan",0,42.1052631578947,10.5263157894737,2,8,2.3538783873816,3.74017274850149,19,65570,38396,34811,5749,4747,12874,52696,10326,9895,273,6460,0.58557267042855,0.530898276650907,0.087677291,0.072395913,0.196339789537898,0.803660210462102,0.15748055513192,0.004163489,0.098520665,28.9766661583041
"46","10",2021,"Manhattan",0,26.9230769230769,19.2307692307692,5,7,2.95651156040071,3.29298379702192,26,65570,38396,34811,5749,4747,12874,52696,10326,9895,273,6460,0.58557267042855,0.530898276650907,0.087677291,0.072395913,0.196339789537898,0.803660210462102,0.15748055513192,0.004163489,0.098520665,39.6522800061003
"47","10",2022,"Manhattan",1,51.6129032258064,19.3548387096774,6,16,2.962942450731,3.94377170374273,31,65570,38396,34811,5749,4747,12874,52696,10326,9895,273,6460,0.58557267042855,0.530898276650907,0.087677291,0.072395913,0.196339789537898,0.803660210462102,0.15748055513192,0.004163489,0.098520665,47.277718468812
"48","10",2023,"Manhattan",1,50,0,0,16,-Inf,3.91202300542815,32,65570,38396,34811,5749,4747,12874,52696,10326,9895,273,6460,0.58557267042855,0.530898276650907,0.087677291,0.072395913,0.196339789537898,0.803660210462102,0.15748055513192,0.004163489,0.098520665,48.8028061613543
"49","10",2024,"Manhattan",1,40,0,0,2,-Inf,3.68887945411394,5,65570,38396,34811,5749,4747,12874,52696,10326,9895,273,6460,0.58557267042855,0.530898276650907,0.087677291,0.072395913,0.196339789537898,0.803660210462102,0.15748055513192,0.004163489,0.098520665,7.62543846271161
"50","100",2017,"Queens",0,57.1428571428571,4.76190476190476,1,12,1.56064774826467,4.04555439805267,21,50809,27528,25976,12598,11780,8671,42138,1876,1843,349,4150,0.541793776693106,0.511248007242811,0.24794819815387,0.231848688224527,0.170658741561534,0.829341258438466,0.036922592,0.006868862,0.081678443,41.3312602098054
"51","100",2018,"Queens",0,44.4444444444444,0,0,12,-Inf,3.79423996977176,27,50809,27528,25976,12598,11780,8671,42138,1876,1843,349,4150,0.541793776693106,0.511248007242811,0.24794819815387,0.231848688224527,0.170658741561534,0.829341258438466,0.036922592,0.006868862,0.081678443,53.1401916983212
"52","100",2019,"Queens",0,77.2727272727273,4.54545454545455,1,17,1.51412773262978,4.34734107668599,22,50809,27528,25976,12598,11780,8671,42138,1876,1843,349,4150,0.541793776693106,0.511248007242811,0.24794819815387,0.231848688224527,0.170658741561534,0.829341258438466,0.036922592,0.006868862,0.081678443,43.2994154578913
"53","100",2019,"Staten Island",0,100,0,0,1,-Inf,4.60517018598809,1,50809,27528,25976,12598,11780,8671,42138,1876,1843,349,4150,0.541793776693106,0.511248007242811,0.24794819815387,0.231848688224527,0.170658741561534,0.829341258438466,0.036922592,0.006868862,0.081678443,1.96815524808597
"54","100",2020,"Queens",0,53.3333333333333,0,0,8,-Inf,3.97656152656572,15,50809,27528,25976,12598,11780,8671,42138,1876,1843,349,4150,0.541793776693106,0.511248007242811,0.24794819815387,0.231848688224527,0.170658741561534,0.829341258438466,0.036922592,0.006868862,0.081678443,29.5223287212895
"55","100",2021,"Queens",0,40,6.66666666666667,1,6,1.89711998488588,3.68887945411394,15,50809,27528,25976,12598,11780,8671,42138,1876,1843,349,4150,0.541793776693106,0.511248007242811,0.24794819815387,0.231848688224527,0.170658741561534,0.829341258438466,0.036922592,0.006868862,0.081678443,29.5223287212895
"56","100",2022,"Queens",1,34.6153846153846,23.0769230769231,6,9,3.13883311719466,3.54429822530283,26,50809,27528,25976,12598,11780,8671,42138,1876,1843,349,4150,0.541793776693106,0.511248007242811,0.24794819815387,0.231848688224527,0.170658741561534,0.829341258438466,0.036922592,0.006868862,0.081678443,51.1720364502352
"57","100",2023,"Queens",1,61.5384615384615,7.69230769230769,1,8,2.04022082852655,4.11966237020639,13,50809,27528,25976,12598,11780,8671,42138,1876,1843,349,4150,0.541793776693106,0.511248007242811,0.24794819815387,0.231848688224527,0.170658741561534,0.829341258438466,0.036922592,0.006868862,0.081678443,25.5860182251176
"58","100",2024,"Queens",1,66.6666666666667,0,0,4,-Inf,4.19970507787993,6,50809,27528,25976,12598,11780,8671,42138,1876,1843,349,4150,0.541793776693106,0.511248007242811,0.24794819815387,0.231848688224527,0.170658741561534,0.829341258438466,0.036922592,0.006868862,0.081678443,11.8089314885158
"59","101",2017,"Queens",0,43.2098765432099,2.46913580246914,2,35,0.903868211875598,3.76606909280507,81,73376,16237,14213,35225,33092,19922,53454,1769,1710,683,6651,0.221284888791976,0.193700937636284,0.480061600523332,0.450992150021805,0.271505669428696,0.728494331,0.0241087,0.009308221,0.090642717,110.390318360227
"60","101",2018,"Brooklyn",0,100,0,0,1,-Inf,4.60517018598809,1,73376,16237,14213,35225,33092,19922,53454,1769,1710,683,6651,0.221284888791976,0.193700937636284,0.480061600523332,0.450992150021805,0.271505669428696,0.728494331,0.0241087,0.009308221,0.090642717,1.36284343654601
"61","101",2018,"Queens",0,38.8888888888889,3.33333333333333,3,35,1.20397280432594,3.66070857714724,90,73376,16237,14213,35225,33092,19922,53454,1769,1710,683,6651,0.221284888791976,0.193700937636284,0.480061600523332,0.450992150021805,0.271505669428696,0.728494331,0.0241087,0.009308221,0.090642717,122.655909289141
"62","101",2019,"Queens",0,54.9019607843137,7.84313725490196,4,28,2.05963891438366,4.00554906343897,51,73376,16237,14213,35225,33092,19922,53454,1769,1710,683,6651,0.221284888791976,0.193700937636284,0.480061600523332,0.450992150021805,0.271505669428696,0.728494331,0.0241087,0.009308221,0.090642717,69.5050152638465
"63","101",2020,"Queens",0,40,12.5,5,16,2.52572864430826,3.68887945411394,40,73376,16237,14213,35225,33092,19922,53454,1769,1710,683,6651,0.221284888791976,0.193700937636284,0.480061600523332,0.450992150021805,0.271505669428696,0.728494331,0.0241087,0.009308221,0.090642717,54.5137374618404
