"","precinct","comp_count"
"1","01",377
"2","05",279
"3","06",290
"4","07",299
"5","09",319
"6","10",219
"7","100",146
"8","101",384
"9","102",333
"10","103",589
"11","104",258
"12","105",425
"13","106",249
"14","107",266
"15","108",196
"16","109",257
"17","110",243
"18","111",119
"19","112",242
"20","113",511
"21","114",554
"22","115",249
"23","120",551
"24","122",260
"25","123",162
"26","13",344
"27","14",658
"28","17",184
"29","18",478
"30","19",269
"31","20",165
"32","22",21
"33","23",387
"34","24",263
"35","25",497
"36","26",173
"37","28",396
"38","30",218
"39","32",478
"40","33",275
"41","34",358
"42","40",751
"43","41",351
"44","42",539
"45","43",561
"46","44",806
"47","45",272
"48","46",585
"49","47",575
"50","48",499
"51","49",328
"52","50",237
"53","52",591
"54","60",467
"55","61",328
"56","62",246
"57","63",295
"58","66",149
"59","67",694
"60","68",262
"61","69",348
"62","70",453
"63","71",419
"64","72",277
"65","73",774
"66","75",1207
"67","76",200
"68","77",491
"69","78",250
"70","79",576
"71","81",384
"72","83",359
"73","84",426
"74","88",246
"75","90",397
"76","94",149
