precinct,pct_pop,pop_white,pop_nhwhite,pop_black,pop_nhblack,pop_hisp,pop_nonhisp,pop_asian,pop_nhasian,pop_nat,pop_birac,share_wh,share_nhwh,share_bl,share_nhbl,share_hisp,share_nonhisp,share_asian,share_nat,share_bir
1,84799,57501,55608,2655,2410,7024,77775,14624,14537,96,7862,0.6780858264838029,0.6557624500288919,0.031309331477965545,0.02842014646399132,0.08283116546185686,0.9171688345381431,0.17245486385452657,0.001132088821802144,0.09271335746883808
5,50598,13363,11970,3556,2964,6453,44145,27507,27432,109,2935,0.26410134787936285,0.23657061543934543,0.07027945768607455,0.05857939048974268,0.12753468516542155,0.8724653148345785,0.5436380884619946,0.002154235345270564,0.058006245306138585
6,64643,50320,48912,1782,1661,5008,59635,5635,5590,72,5162,0.7784292189409526,0.7566480516065158,0.027566789907646612,0.02569497083984345,0.07747165199634919,0.9225283480036508,0.08717107807496557,0.001113809693238247,0.07985396717355321
7,57985,18416,15512,6934,5456,17241,40744,17779,17608,396,6239,0.3175993791497801,0.26751746141243427,0.11958265068552212,0.09409329999137708,0.2973355178063292,0.7026644821936707,0.30661377942571355,0.0068293524187289815,0.10759679227386393
9,75951,41843,38321,6610,5520,17159,58792,11322,11206,480,7839,0.5509209885320799,0.5045489855301445,0.08702979552606285,0.07267843741359561,0.2259219760108491,0.7740780239891509,0.1490697949994075,0.006319864122921357,0.10321128095745942
10,65570,38396,34811,5749,4747,12874,52696,10326,9895,273,6460,0.5855726704285497,0.5308982766509074,0.08767729144425805,0.07239591276498399,0.19633978953789843,0.8036602104621016,0.15748055513192008,0.004163489400640537,0.09852066493823394
13,100050,67019,64496,5078,4637,10164,89886,15270,15139,194,8544,0.6698550724637681,0.6446376811594203,0.05075462268865567,0.04634682658670665,0.10158920539730135,0.8984107946026987,0.15262368815592203,0.0019390304847576212,0.08539730134932534
14,28050,13221,12203,3940,3428,3999,24051,7233,7205,103,2030,0.4713368983957219,0.4350445632798574,0.14046345811051694,0.12221033868092691,0.1425668449197861,0.8574331550802139,0.25786096256684493,0.0036720142602495545,0.07237076648841355
17,89367,61467,59818,2478,2256,6576,82791,16938,16879,90,6396,0.6878042230353486,0.6693522217373303,0.02772835610460237,0.025244217664238476,0.0735842089361845,0.9264157910638156,0.18953304911208835,0.0010070831514988755,0.07157004263318675
18,67528,37793,35536,4810,4199,11327,56201,13318,13231,289,6701,0.5596641393199858,0.5262409667101055,0.07122971211941713,0.06218161355289658,0.1677378272716503,0.8322621727283497,0.19722189314062316,0.004279706195948347,0.09923291079256012
