CB2020,CT2020,BCTCB2020,GEOID,OBJECTID,CTLabel,BoroCT2020,NAME,DP03_0128PE,precinct
"1000","000100","10001001000","360610001001000",2163,"1","2000100",,,"1"
"1001","000100","10001001001","360610001001001",2163,"1","2000100",,,"1"
"1000","000500","10005001000","360610005001000",883,"5","1000500",,,"1"
"1003","000500","10005001003","360610005001003",883,"5","1000500",,,"1"
"1004","000500","10005001004","360610005001004",883,"5","1000500",,,"1"
"1005","000500","10005001005","360610005001005",883,"5","1000500",,,"1"
"1006","000500","10005001006","360610005001006",883,"5","1000500",,,"1"
"1007","000500","10005001007","360610005001007",883,"5","1000500",,,"1"
"1008","000500","10005001008","360610005001008",883,"5","1000500",,,"1"
"1009","000500","10005001009","360610005001009",883,"5","1000500",,,"1"
"1010","000500","10005001010","360610005001010",883,"5","1000500",,,"1"
"1012","000500","10005001012","360610005001012",883,"5","1000500",,,"1"
"1013","000500","10005001013","360610005001013",883,"5","1000500",,,"1"
"1015","000500","10005001015","360610005001015",883,"5","1000500",,,"1"
"1016","000500","10005001016","360610005001016",883,"5","1000500",,,"1"
"1017","000500","10005001017","360610005001017",883,"5","1000500",,,"1"
"1018","000500","10005001018","360610005001018",883,"5","1000500",,,"1"
"1019","000500","10005001019","360610005001019",883,"5","1000500",,,"1"
"1021","000500","10005001021","360610005001021",883,"5","1000500",,,"1"
"1022","000500","10005001022","360610005001022",883,"5","1000500",,,"1"
"1023","000500","10005001023","360610005001023",883,"5","1000500",,,"1"
"1024","000500","10005001024","360610005001024",883,"5","1000500",,,"1"
"1025","000500","10005001025","360610005001025",883,"5","1000500",,,"1"
"1026","000500","10005001026","360610005001026",883,"5","1000500",,,"1"
"1027","000500","10005001027","360610005001027",883,"5","1000500",,,"1"
"1028","000500","10005001028","360610005001028",883,"5","1000500",,,"1"
"1029","000500","10005001029","360610005001029",883,"5","1000500",,,"1"
"1030","000500","10005001030","360610005001030",883,"5","1000500",,,"1"
"1031","000500","10005001031","360610005001031",883,"5","1000500",,,"1"
"1000","000700","10007001000","360610007001000",1243,"7","3000700",,,"1"
"1001","000700","10007001001","360610007001001",1243,"7","3000700",,,"1"
"1002","000700","10007001002","360610007001002",1243,"7","3000700",,,"1"
"1003","000700","10007001003","360610007001003",1243,"7","3000700",,,"1"
"1004","000700","10007001004","360610007001004",1243,"7","3000700",,,"1"
"3000","000700","10007003000","360610007003000",1243,"7","3000700",,,"1"
"4003","000700","10007004003","360610007004003",1243,"7","3000700",,,"1"
"4004","000700","10007004004","360610007004004",1243,"7","3000700",,,"1"
"5000","000700","10007005000","360610007005000",1243,"7","3000700",,,"1"
"5001","000700","10007005001","360610007005001",1243,"7","3000700",,,"1"
"6000","000700","10007006000","360610007006000",1243,"7","3000700",,,"1"
"6001","000700","10007006001","360610007006001",1243,"7","3000700",,,"1"
"6002","000700","10007006002","360610007006002",1243,"7","3000700",,,"1"
"7000","000700","10007007000","360610007007000",1243,"7","3000700",,,"1"
"7001","000700","10007007001","360610007007001",1243,"7","3000700",,,"1"
"7002","000700","10007007002","360610007007002",1243,"7","3000700",,,"1"
"7003","000700","10007007003","360610007007003",1243,"7","3000700",,,"1"
"7004","000700","10007007004","360610007007004",1243,"7","3000700",,,"1"
"7005","000700","10007007005","360610007007005",1243,"7","3000700",,,"1"
"7006","000700","10007007006","360610007007006",1243,"7","3000700",,,"1"
"7007","000700","10007007007","360610007007007",1243,"7","3000700",,,"1"
"7008","000700","10007007008","360610007007008",1243,"7","3000700",,,"1"
"8000","000700","10007008000","360610007008000",1243,"7","3000700",,,"1"
"8001","000700","10007008001","360610007008001",1243,"7","3000700",,,"1"
"8002","000700","10007008002","360610007008002",1243,"7","3000700",,,"1"
"1000","000900","10009001000","360610009001000",1244,"9","3000900",,,"1"
"1002","000900","10009001002","360610009001002",1244,"9","3000900",,,"1"
